indic_id,enforce_zone_id,metric_enforce_date,indic_vi,indic_va,indic_vc,maille
IND-303,D41,2022-12-01,243,,,DEPT
IND-303,D42,2022-12-01,1665,,,DEPT
IND-303,D43,2022-12-01,351,,,DEPT
IND-303,D44,2022-12-01,1823,,,DEPT
IND-303,D45,2022-12-01,890,,,DEPT
IND-303,D46,2022-12-01,110,,,DEPT
IND-303,D47,2022-12-01,267,,,DEPT
IND-303,D48,2022-12-01,39,,,DEPT
IND-303,D49,2022-12-01,360,,,DEPT
IND-303,D50,2022-12-01,466,,,DEPT
IND-303,D51,2022-12-01,692,,,DEPT
IND-303,D52,2022-12-01,192,,,DEPT
IND-303,D53,2022-12-01,386,,,DEPT
IND-303,D54,2022-12-01,856,,,DEPT
IND-303,D55,2022-12-01,185,,,DEPT
IND-303,D56,2022-12-01,589,,,DEPT
IND-303,D57,2022-12-01,957,,,DEPT
IND-303,D58,2022-12-01,207,,,DEPT
IND-303,D59,2022-12-01,6063,,,DEPT
IND-303,D60,2022-12-01,2588,,,DEPT
IND-303,D61,2022-12-01,370,,,DEPT
IND-303,D62,2022-12-01,2459,,,DEPT
IND-303,D63,2022-12-01,615,,,DEPT
IND-303,D64,2022-12-01,442,,,DEPT
IND-303,D65,2022-12-01,243,,,DEPT
IND-303,D66,2022-12-01,908,,,DEPT
IND-303,D67,2022-12-01,869,,,DEPT
IND-303,D68,2022-12-01,745,,,DEPT
IND-303,D69,2022-12-01,6114,,,DEPT
IND-303,D70,2022-12-01,226,,,DEPT
IND-303,D71,2022-12-01,715,,,DEPT
IND-303,D72,2022-12-01,226,,,DEPT
IND-303,D73,2022-12-01,490,,,DEPT
IND-303,D74,2022-12-01,1487,,,DEPT
IND-303,D75,2022-12-01,8982,,,DEPT
IND-303,D76,2022-12-01,3960,,,DEPT
IND-303,D77,2022-12-01,4867,,,DEPT
IND-303,D78,2022-12-01,4848,,,DEPT
IND-303,D79,2022-12-01,341,,,DEPT
IND-303,D80,2022-12-01,719,,,DEPT
IND-303,D81,2022-12-01,782,,,DEPT
IND-303,D82,2022-12-01,168,,,DEPT
IND-303,D83,2022-12-01,2322,,,DEPT
IND-303,D84,2022-12-01,1353,,,DEPT
IND-303,D85,2022-12-01,222,,,DEPT
IND-303,D86,2022-12-01,434,,,DEPT
IND-303,D87,2022-12-01,488,,,DEPT
IND-303,D88,2022-12-01,375,,,DEPT
IND-303,D89,2022-12-01,844,,,DEPT
IND-303,D90,2022-12-01,237,,,DEPT
IND-303,D91,2022-12-01,2847,,,DEPT
IND-303,D92,2022-12-01,4567,,,DEPT
IND-303,D93,2022-12-01,6391,,,DEPT
IND-303,D94,2022-12-01,3625,,,DEPT
IND-303,D95,2022-12-01,3616,,,DEPT
IND-303,D971,2022-12-01,828,,,DEPT
IND-303,D972,2022-12-01,692,,,DEPT
IND-303,D973,2022-12-01,191,,,DEPT
IND-303,D974,2022-12-01,608,,,DEPT
IND-303,D976,2022-12-01,26,,,DEPT
IND-303,D01,2023-03-01,,277,,DEPT
IND-303,D02,2023-03-01,,310,,DEPT
IND-303,D03,2023-03-01,,98,,DEPT
IND-303,D04,2023-03-01,,101,,DEPT
IND-303,D05,2023-03-01,,179,,DEPT
IND-303,D06,2023-03-01,,911,,DEPT
IND-303,D07,2023-03-01,,88,,DEPT
IND-303,D08,2023-03-01,,69,,DEPT
IND-303,D09,2023-03-01,,47,,DEPT
IND-303,D10,2023-03-01,,75,,DEPT
IND-303,D11,2023-03-01,,109,,DEPT
IND-303,D12,2023-03-01,,108,,DEPT
IND-303,D13,2023-03-01,,5149,,DEPT
IND-303,D14,2023-03-01,,445,,DEPT
IND-303,D15,2023-03-01,,10,,DEPT
IND-303,D16,2023-03-01,,49,,DEPT
IND-303,D17,2023-03-01,,216,,DEPT
IND-303,D18,2023-03-01,,98,,DEPT
IND-303,D19,2023-03-01,,64,,DEPT
IND-303,D21,2023-03-01,,167,,DEPT
IND-303,D22,2023-03-01,,162,,DEPT
IND-303,D23,2023-03-01,,22,,DEPT
IND-303,D24,2023-03-01,,106,,DEPT
IND-303,D25,2023-03-01,,228,,DEPT
IND-303,D26,2023-03-01,,163,,DEPT
IND-303,D27,2023-03-01,,396,,DEPT
IND-303,D28,2023-03-01,,109,,DEPT
IND-303,D29,2023-03-01,,98,,DEPT
IND-303,D2A,2023-03-01,,47,,DEPT
IND-303,D2B,2023-03-01,,34,,DEPT
IND-303,D30,2023-03-01,,290,,DEPT
IND-303,D31,2023-03-01,,1039,,DEPT
IND-303,D32,2023-03-01,,29,,DEPT
IND-303,D33,2023-03-01,,483,,DEPT
IND-303,D34,2023-03-01,,923,,DEPT
